ID	Original Text	Translated Text
0	Fresh Faced	Fresh Faced
2	The Warger	The Warger
3	Custom model from Rumibard Warger	Custom model from Rumibard Warger
4	Double Implant 2	Double Implant 2
5	Deal 5000 Damage to Enemies	对敌人造成5000点伤害
6	FB Official Hat	FB官员帽
7	Official Hat by the Fluffy Biscuit Company	毛绒饼干公司的官方军帽
8	Desert	沙漠
9	Saucer	Saucer
10	Capsule	胶囊
11	Experienced	经验
12	Like a fine wine. aged.	具有年份的美酒
13	CU Casual Hat	CU便帽
14	Grey Hat	灰色的
15	Between a white and black hat	Between a white and black hat
16	WD Captains Hat (Long Hair)	WD 舰长的牛仔帽 (长头发)
17	WD Captains Hat (Short Hair)	WD 舰长的牛仔帽 (短头发)
18	CU Captains Hat (Long Hair)	CU 舰长的牛仔帽 (长头发)
19	CU Captains Hat (Short Hair)	CU 舰长的牛仔帽 (短头发)
20	Casual Hat	便帽
21	Flat Top	Flat Top
22	No Markings	无标记
23	Tough	Tough
24	Bald	Bald
25	Short 1	Short 1
26	Partly Bald	Partly Bald
27	For those who want to make it so	对于那些想要做到这一点的人
28	Bowl Cut	Bowl Cut
29	The most logical option	The most logical option
30	Side Part	Side Part
31	Ruffled 2	Ruffled 2
32	Ruffled 1	Ruffled 1
33	Clean	干净的
34	Middle Part	Middle Part
35	Slicked Back	Slicked Back
36	None	无
37	Visor 1	Visor 1
38	Visor 2	Visor 2
39	Double Implant	双植入
40	Right Implant	右边植入
41	Left Implant	左边植入
42	Right Implant 2	右边植入 2
43	Right Implant 3	右边植入 3
44	Right Implant (Old)	右边植入 (Old)
45	Left Implant (Old)	左边植入 (Old)
46	Blindfold	Blindfold
47	Nose Rings	鼻环
48	Nose + Ear Rings	鼻子+耳环
49	Sidewinders	响尾蛇导弹
50	Half-Visor	Half-Visor
51	The Third Eye	The Third Eye
52	Fashion Item	Fashion Item
53	Glasses	眼镜
54	Illegal Implant	非法种植
55	Engineer's Goggles	工程师护目镜
56	Illegal Implant 2	非法种植 2
57	Specialist Implants (Double)	专业的植入物 (双)
58	Specialist Implants (Right)	专业的植入物 (右)
59	Specialist Implants (Left)	专业的植入物 (左)
60	Clean Shaven	干净的胡须
61	Bristly Beard	胡子拉碴的胡须
62	Trimmed Beard	修饰过的胡须
63	Moustache	小胡子/胡须
64	Chin Beard	下巴胡须
65	Simple Moustache	简单的小胡子
66	Goatee 1	山羊胡子 1
